date	time	ticker	name	title	summary	link
2020-10-08	2020-10-08 02:58:29	DDpA	E. I. du Pont de Nemours and Company	U.S. expected to impose new sanctions on Iran's financial sector - source	The United States is preparing to impose fresh sanctions on Iran's financial industry as soon as Thursday, a Republican congressional aide briefed on the matter said, as Washington ramps up pressure on Tehran weeks ahead of a key U.S. election.	https://www.nasdaq.com/articles/u.s.-expected-to-impose-new-sanctions-on-irans-financial-sector-source-2020-10-07-0
2020-10-08	2020-10-08 02:58:28	DDpA	E. I. du Pont de Nemours and Company	Streaming provider fuboTV raises $183 million in IPO ahead of NYSE debut	Streaming provider fuboTV Inc sold shares in its initial public offering (IPO) on Wednesday at $10 apiece, within its target range, to raise $183 million.	https://www.nasdaq.com/articles/streaming-provider-fubotv-raises-%24183-million-in-ipo-ahead-of-nyse-debut-2020-10-07-0
2020-10-08	2020-10-08 02:56:23	DDpA	E. I. du Pont de Nemours and Company	Sensex, Nifty Seen Up As TCS Beats Estimates 	"
(RTTNews) - Indian shares are likely to open higher on Thursday after India's largest IT services major, Tata Consultancy Services (TCS), posted better-than-expected quarterly numbers and said it expects demand for software services to continue to gain pace."	https://www.nasdaq.com/articles/sensex-nifty-seen-up-as-tcs-beats-estimates-2020-10-07
2020-10-08	2020-10-08 02:30:04	DDpA	E. I. du Pont de Nemours and Company	Win Streak May Continue For Thai Stock Market 	"
(RTTNews) - The Thai stock market has climbed higher in three straight sessions, collecting more than 25 points or 2 percent along the way. The Stock Exchange of Thailand now sits just beneath the 1,265-point plateau and it's predicted to open higher again on Thursday."	https://www.nasdaq.com/articles/win-streak-may-continue-for-thai-stock-market-2020-10-07
2020-10-08	2020-10-08 02:22:00	DDpA	E. I. du Pont de Nemours and Company	Sports streaming platform fuboTV prices upsized IPO at $10 midpoint	"fuboTV, which offers a live TV sports-first streaming platform, raised $183 million by offering 18.3 million shares at $10, the midpoint of the $9 to $11 range.
The company is currently listed on the OTCQB under the symbol FUBO; it traded up following the IPO launch and last clos"	https://www.nasdaq.com/articles/sports-streaming-platform-fubotv-prices-upsized-ipo-at-%2410-midpoint-2020-10-08
2020-10-08	2020-10-08 02:20:55	DDpA	E. I. du Pont de Nemours and Company	Oil prices rise as Hurricane Delta approaches U.S. Gulf of Mexico	Oil prices rose on Thursday as oil workers evacuated rigs in the U.S. Gulf of Mexico ahead of Hurricane Delta, though fuel demand concerns persisted on fading chances for an economic stimulus deal in the United States, the world's biggest oil consumer.	https://www.nasdaq.com/articles/oil-prices-rise-as-hurricane-delta-approaches-u.s.-gulf-of-mexico-2020-10-07
2020-10-08	2020-10-08 02:19:59	DDpA	E. I. du Pont de Nemours and Company	GLOBAL MARKETS-Asian shares at 1-mth highs on renewed U.S. stimulus hopes	A gauge of Asian shares climbed to a one-month high on Thursday, as renewed hopes for more U.S. stimulus helped restore investor confidence with markets now pricing in a Democratic victory during elections in November.	https://www.nasdaq.com/articles/global-markets-asian-shares-at-1-mth-highs-on-renewed-u.s.-stimulus-hopes-2020-10-07
2020-10-08	2020-10-08 02:00:04	DDpA	E. I. du Pont de Nemours and Company	Indonesia Stock Market Has A Green Light For Thursday 	"
(RTTNews) - The Indonesia stock market has climbed higher in three straight sessions, advancing almost 80 points or 1.6 percent along the way. The Jakarta Composite Index now sits just above the 5,000-point plateau and it may add to its winnings on Thursday."	https://www.nasdaq.com/articles/indonesia-stock-market-has-a-green-light-for-thursday-2020-10-07
2020-10-08	2020-10-08 01:57:05	DDpA	E. I. du Pont de Nemours and Company	Japanese Market Advances 	"
(RTTNews) - The Japanese stock market is advancing on Thursday following the positive cues overnight from Wall Street amid optimism about more U.S. fiscal stimulus. U.S. President Donald Trump said he would support individual stimulus measures after calling off negotiations over"	https://www.nasdaq.com/articles/japanese-market-advances-2020-10-07
2020-10-08	2020-10-08 01:56:04	DDpA	E. I. du Pont de Nemours and Company	Regeneron antibodies in demand after Trump treatment, doctors seek more data	Patients are asking to join clinical trials of antibody-based COVID-19 drugs after U.S. President Donald Trump was treated last week with an experimental therapy from Regeneron Pharmaceuticals Inc, and on Wednesday he promised to make it free to Americans while touting its benefits.	https://www.nasdaq.com/articles/regeneron-antibodies-in-demand-after-trump-treatment-doctors-seek-more-data-2020-10-07
2020-10-08	2020-10-08 01:41:29	DDpA	E. I. du Pont de Nemours and Company	Samsung Sees 58% Rise In Q3 Operating Profit 	"
(RTTNews) - Samsung Electronics Co Ltd (SMSN.L, SSNNF.OB, SSNLF.OB) expects that its third-quarter operating profit will rise about 58.10 percent from last year. It projects sales will increase 6.45 percent. The company's mobile and chip businesses benefited from U.S. restrictio"	https://www.nasdaq.com/articles/samsung-sees-58-rise-in-q3-operating-profit-2020-10-07
2020-10-08	2020-10-08 01:36:09	DDpA	E. I. du Pont de Nemours and Company	Indonesian state miner completes 20% stake buy in Vale unit for $375 mln	Indonesia's state miner Mining Industry Indonesia (MIND ID), formerly known as PT Inalum, completed its purchase of a 20% stake in nickel miner PT Vale Indonesia, the country's state- owned enterprises ministry said on Thursday.	https://www.nasdaq.com/articles/indonesian-state-miner-completes-20-stake-buy-in-vale-unit-for-%24375-mln-2020-10-07
2020-10-08	2020-10-08 01:29:46	DDpA	E. I. du Pont de Nemours and Company	BOJ's Kuroda says economy to continue recovering from pandemic's pain	Bank of Japan Governor Haruhiko Kuroda said on Thursday the economy was starting to pick up and was likely to continue recovering thanks in part to the boost from fiscal and monetary stimulus measures.	https://www.nasdaq.com/articles/bojs-kuroda-says-economy-to-continue-recovering-from-pandemics-pain-2020-10-07
2018-08-13	2018-08-13 18:51:13	DDpA	E. I. du Pont de Nemours and Company	White House called toxins contamination 'PR nightmare'	Lauren Woeher wonders if her 16-month-old daughter has been harmed by tap water contaminated with toxic industrial compounds used in products like nonstick cookware, carpets, firefighting foam and fast-food wrappers.  Henry Betz, at 76, rattles around his house alone at night, thinking about the water his family unknowingly drank for years that was tainted by the same contaminants, and the pancreatic cancers that killed wife Betty Jean and two others in his household.  Tim Hagey, manager of a local water utility, recalls how he used to assure people that the local public water was safe.	https://finance.yahoo.com/news/toxics-manufacturing-turn-public-water-052441118.html?.tsrc=rss
2018-08-13	2018-08-13 18:51:13	DDpA	E. I. du Pont de Nemours and Company	White House called toxins contamination 'PR nightmare'	HORSHAM, Pa. (AP) — Lauren Woeher wonders if her 16-month-old daughter has been harmed by tap water contaminated with toxic industrial compounds used in products like nonstick cookware, carpets, firefighting foam and fast-food wrappers. Henry Betz, at 76, rattles around his house alone at night, thinking about the water his family unknowingly drank for years that was tainted by the same contaminants, and the pancreatic cancers that killed wife Betty Jean and two others in his household.	https://finance.yahoo.com/m/33dc0c22-31c3-3475-98c6-e036a3ab775c/white-house-called-toxins.html?.tsrc=rss
2018-08-02	2018-08-02 07:39:00	DDpA	E. I. du Pont de Nemours and Company	DowDuPont Q2 Profit Rises	DowDuPont Q2 Profit Rises	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0NSocQJ8rLo/dowdupont-q2-profit-rises-20180802-00612
2018-08-02	2018-08-02 07:39:00	DDpA	E. I. du Pont de Nemours and Company	DowDuPont Q2 Profit Rises	DowDuPont Q2 Profit Rises	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/eOMHBiz5yIk/dowdupont-q2-profit-rises-20180802-00612
2018-06-22	2018-06-22 16:05:42	DDpA	E. I. du Pont de Nemours and Company	Federal study: Chemicals toxic at levels EPA thought safe	The chemicals used by a West Virginia factory to make non-stick products are dangerous at levels the U.S. Environmental Protection Agency had thought were safe, according to a federal study that had been previously blocked from publication.  It said the chemicals are dangerous at levels around 10 times lower than the EPA's advised exposure of 70 parts per trillion.  The DuPont Co., which used the chemicals to create non-stick products such as Teflon, now faces thousands of lawsuits from people living near its Parkersburg-area Washington Works plant who say their water was contaminated.	https://finance.yahoo.com/news/federal-study-chemicals-toxic-below-recommended-epa-levels-022723248.html?.tsrc=rss
2018-06-20	2018-06-20 10:51:00	DDpA	E. I. du Pont de Nemours and Company	GE Replaced By Walgreens In Dow Jones Industrial Average	GE Replaced By Walgreens In Dow Jones Industrial Average	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Xs3pROXhskk/ge-replaced-by-walgreens-in-dow-jones-industrial-average-20180620-00679
2018-06-20	2018-06-20 10:51:00	DDpA	E. I. du Pont de Nemours and Company	GE Replaced By Walgreens In Dow Jones Industrial Average	GE Replaced By Walgreens In Dow Jones Industrial Average	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Dk6O6GQvFTs/ge-replaced-by-walgreens-in-dow-jones-industrial-average-20180620-00679
2018-06-12	2018-06-12 15:13:16	DDpA	E. I. du Pont de Nemours and Company	Chemours ex-worker pleads guilty in China trade secrets case	WILMINGTON, Del. (AP) — A former employee of a chemical company spun off from the DuPont Co. has pleaded guilty to conspiring to steal trade secrets and sell them to Chinese investors.	https://finance.yahoo.com/m/7f005430-afbd-3d7e-8b82-e473f36f73d0/chemours-ex-worker-pleads.html?.tsrc=rss
2018-04-04	2018-04-04 20:13:16	DDpA	E. I. du Pont de Nemours and Company	The Latest: Iowa Senator: Trade dispute unfair to US farmers	The Latest on U.S.-China trade tensions (all times local): ___ 4:00 p.m. Sen. Charles Grassley, an Iowa Republican, says the United States needs to protect its intellectual property and competitiveness ...	https://finance.yahoo.com/news/latest-china-open-talks-us-091645965.html?.tsrc=rss
2018-04-04	2018-04-04 20:13:16	DDpA	E. I. du Pont de Nemours and Company	The Latest: Iowa Senator: Trade dispute unfair to US farmers	WASHINGTON (AP) — The Latest on U.S.-China trade tensions (all times local):	https://finance.yahoo.com/m/086a40a7-a813-3526-a432-8dfc9604b680/the-latest%3A-iowa-senator%3A.html?.tsrc=rss
2018-04-04	2018-04-04 19:41:19	DDpA	E. I. du Pont de Nemours and Company	The Latest: Trade war bad for chemical industry, group says	WASHINGTON (AP) — The Latest on U.S.-China trade tensions (all times local):	https://finance.yahoo.com/m/086a40a7-a813-3526-a432-8dfc9604b680/the-latest%3A-trade-war-bad-for.html?.tsrc=rss
2018-03-26	2018-03-26 17:25:00	DDpA	E. I. du Pont de Nemours and Company	Chemours Lifts FY18 Outlook	Chemours Lifts FY18 Outlook	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MYDVO_ZqlgU/chemours-lifts-fy18-outlook-20180326-01090
2018-03-26	2018-03-26 17:25:00	DDpA	E. I. du Pont de Nemours and Company	Chemours Lifts FY18 Outlook	Chemours Lifts FY18 Outlook	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/nPyspNiyiOo/chemours-lifts-fy18-outlook-20180326-01090
2018-03-12	2018-03-12 19:23:40	DDpA	E. I. du Pont de Nemours and Company	Tech gains but industrials slide, leaving indexes mixed	NEW YORK (AP) — Stocks are split Monday as technology companies continue to climb while Boeing and other industrial companies gave back some of the ground they won on Friday. The market is coming off its biggest gain in a month following a monthly jobs report that showed strong hiring and moderate growth in wages.	http://finance.yahoo.com/r/ea871a90-e427-3ef1-956f-5a1582fb5c25/tech-retail-boost-stocks-further-last-weeks-jump-141755732--finance.html?.tsrc=rss
2018-02-27	2018-02-27 19:51:07	DDpA	E. I. du Pont de Nemours and Company	Chemours Company, (The) -- Moody's says risk to Chemours and DuPont steps up with new PFC litigation	In a report out today, Moody's Investors Service says there is a heightened level of litigation risk to both The Chemours Company, (Ba2, Stable) and E.I. du Pont de Nemours and Company (A3, negative outlook) ...	https://finance.yahoo.com/m/8250ec84-e2ab-3350-a3b1-da8eac156bc4/chemours-company%2C-%28the%29-.html?.tsrc=rss
2018-02-27	2018-02-27 19:51:07	DDpA	E. I. du Pont de Nemours and Company	Chemours Company, (The) -- Moody's says risk to Chemours and DuPont steps up with new PFC litigation	In a report out today, Moody's Investors Service says there is a heightened level of litigation risk to both The Chemours Company, (Ba2, Stable) and E.I. du Pont de Nemours and Company (A3, negative outlook) ...	http://finance.yahoo.com/r/8250ec84-e2ab-3350-a3b1-da8eac156bc4/viewresearchdoc.aspx?docid=PR_380038&WT.mc_id=AM~WWFob29fRmluYW5jZV9TQl9SYXRpbmcgTmV3c19BbGxfRW5n~20180227_PR_380038&yptr=yahoo&.tsrc=rss
2018-02-15	2018-02-15 21:28:00	DDpA	E. I. du Pont de Nemours and Company	DuPont Declares Regular Quarterly Dividend on Preferred Stock	WILMINGTON, Del. , Feb. 15, 2018 /PRNewswire/ -- On Feb 15, 2018 , DuPont's board of directors declared regular quarterly dividends of $1.12 -1/2 per share on the $4.50 series preferred stock and $0.87 ...	https://finance.yahoo.com/news/dupont-declares-regular-quarterly-dividend-212800610.html?.tsrc=rss
2018-02-12	2018-02-12 22:53:08	DDpA	E. I. du Pont de Nemours and Company	Farmers trained on using herbicide blamed for crop damage	MINNEAPOLIS (AP) — Tens of thousands of soybean and cotton farmers across the country are taking free but mandatory training in how to properly use a weed killer blamed for drifting and damaging crops in neighboring fields.	https://finance.yahoo.com/m/fddc24bf-b796-3f6b-90c2-61c7840bf996/farmers-trained-on-using.html?.tsrc=rss
2018-02-12	2018-02-12 22:53:08	DDpA	E. I. du Pont de Nemours and Company	Farmers trained on using herbicide blamed for crop damage	MINNEAPOLIS (AP) — Tens of thousands of soybean and cotton farmers across the country are taking free but mandatory training in how to properly use a weed killer blamed for drifting and damaging crops in neighboring fields.	http://finance.yahoo.com/r/fddc24bf-b796-3f6b-90c2-61c7840bf996/farmers-trained-using-herbicide-blamed-211240585.html?.tsrc=rss
2018-02-01	2018-02-01 06:19:00	DDpA	E. I. du Pont de Nemours and Company	DowDuPont Q4 Loss Widens; Increases Cost Synergy Commitment	DowDuPont Q4 Loss Widens; Increases Cost Synergy Commitment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ljBs4_XYKMc/dowdupont-q4-loss-widens-increases-cost-synergy-commitment-20180201-00273
2018-02-01	2018-02-01 06:19:00	DDpA	E. I. du Pont de Nemours and Company	DowDuPont Q4 Loss Widens; Increases Cost Synergy Commitment	DowDuPont Q4 Loss Widens; Increases Cost Synergy Commitment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Uac5k0EfPLY/dowdupont-q4-loss-widens-increases-cost-synergy-commitment-20180201-00273
